Município,S1,S2
ABDON BATISTA,0.0,0.0
ABELARDO LUZ,0.0,0.0
ALFREDO WAGNER,0.0,0.0
ALTO BELA VISTA,0.0,0.0
ANCHIETA,0.0,0.0
ANITÁPOLIS,0.0,0.0
ANTÔNIO CARLOS,0.0,0.0
APIÚNA,-3.0,5.0
ARABUTÃ,0.0,0.0
ARAQUARI,-20.0,-18.0
ARARANGUÁ,0.0,0.0
ARROIO TRINTA,0.0,0.0
ARVOREDO,0.0,0.0
ASCURRA,0.0,0.0
AURORA,0.0,0.0
BALNEÁRIO BARRA DO SUL,-4.0,0.0
BALNEÁRIO CAMBORIÚ,-137.0,143.0
BALNEÁRIO GAIVOTA,0.0,0.0
BALNEÁRIO PIÇARRAS,-1.0,6.0
BALNEÁRIO RINCÃO,0.0,0.0
BANDEIRANTE,0.0,0.0
BARRA BONITA,0.0,0.0
BARRA VELHA,-31.0,29.0
BELMONTE,0.0,0.0
BENEDITO NOVO,0.0,0.0
BIGUAÇU,0.0,0.0
BLUMENAU,-62.0,-58.0
BOM JARDIM DA SERRA,0.0,0.0
BOM JESUS,-2.0,2.0
BOM JESUS DO OESTE,0.0,0.0
BOMBINHAS,1.0,-7.0
BOTUVERÁ,0.0,0.0
BRAÇO DO NORTE,0.0,0.0
BRUSQUE,-61.0,62.0
CAIBI,-7.0,0.0
CAMBORIÚ,-7.0,-5.0
CAMPO ALEGRE,0.0,0.0
CAMPO ERÊ,-2.0,0.0
CAMPOS NOVOS,0.0,0.0
CANELINHA,0.0,0.0
CANOINHAS,0.0,0.0
CAPINZAL,0.0,0.0
CAPIVARI DE BAIXO,0.0,0.0
CAPÃO ALTO,0.0,0.0
CATANDUVAS,0.0,0.0
CAXAMBU DO SUL,-20.0,0.0
CAÇADOR,0.0,0.0
CELSO RAMOS,0.0,0.0
CHAPECÓ,-27.0,28.0
COCAL DO SUL,0.0,0.0
CONCÓRDIA,-44.0,4.0
CORDILHEIRA ALTA,0.0,0.0
CORONEL FREITAS,0.0,0.0
CORONEL MARTINS,0.0,0.0
CORREIA PINTO,0.0,0.0
CORUPÁ,0.0,0.0
CRICIÚMA,0.0,0.0
CUNHA PORÃ,0.0,0.0
CUNHATAÍ,0.0,0.0
CURITIBANOS,0.0,0.0
DESCANSO,-4.0,0.0
DIONÍSIO CERQUEIRA,0.0,-1.0
DOUTOR PEDRINHO,0.0,0.0
ENTRE RIOS,-1.0,0.0
ERVAL VELHO,0.0,0.0
FAXINAL DOS GUEDES,0.0,0.0
FLOR DO SERTÃO,0.0,0.0
FLORIANÓPOLIS,13.0,33.0
FORMOSA DO SUL,-2.0,0.0
FORQUILHINHA,0.0,0.0
FRAIBURGO,0.0,0.0
GALVÃO,0.0,0.0
GAROPABA,0.0,0.0
GARUVA,-21.0,17.0
GASPAR,-1.0,0.0
GOVERNADOR CELSO RAMOS,0.0,0.0
GRAVATAL,0.0,0.0
GUABIRUBA,0.0,0.0
GUARACIABA,0.0,0.0
GUARAMIRIM,-1.0,0.0
GUARUJÁ DO SUL,-2.0,-2.0
GUATAMBÚ,0.0,0.0
HERVAL D'OESTE,0.0,0.0
IBICARÉ,0.0,0.0
IBIRAMA,0.0,0.0
ILHOTA,-2.0,0.0
IMARUÍ,0.0,0.0
IMBITUBA,0.0,0.0
IMBUIA,0.0,0.0
INDAIAL,-11.0,0.0
IOMERÊ,0.0,0.0
IPIRA,0.0,2.0
IPORÃ DO OESTE,-3.0,0.0
IPUAÇU,-1.0,1.0
IPUMIRIM,0.0,0.0
IRACEMINHA,0.0,0.0
IRANI,0.0,0.0
IRATI,0.0,0.0
IRINEÓPOLIS,0.0,0.0
ITAJAÍ,-66.0,-95.0
ITAPEMA,-20.0,2.0
ITAPIRANGA,-43.0,-1.0
ITAPOÁ,-1.0,-1.0
ITUPORANGA,0.0,0.0
ITÁ,0.0,0.0
IÇARA,0.0,0.0
JABORÁ,0.0,0.0
JAGUARUNA,0.0,0.0
JARAGUÁ DO SUL,-7.0,-1.0
JARDINÓPOLIS,0.0,0.0
JOAÇABA,0.0,0.0
JOINVILLE,-1173.0,1014.0
JOSÉ BOITEUX,0.0,0.0
JUPIÁ,0.0,0.0
LACERDÓPOLIS,0.0,0.0
LAGES,0.0,0.0
LAGUNA,0.0,0.0
LAJEADO GRANDE,0.0,0.0
LAURENTINO,0.0,0.0
LAURO MÜLLER,0.0,0.0
LEOBERTO LEAL,0.0,0.0
LINDÓIA DO SUL,0.0,0.0
LONTRAS,0.0,0.0
LUIZ ALVES,0.0,0.0
LUZERNA,0.0,0.0
MAFRA,0.0,0.0
MAJOR GERCINO,0.0,0.0
MARACAJÁ,0.0,0.0
MARAVILHA,-30.0,-1.0
MAREMA,0.0,0.0
MASSARANDUBA,0.0,0.0
MODELO,0.0,0.0
MONDAÍ,-4.0,4.0
MORRO DA FUMAÇA,0.0,0.0
NAVEGANTES,20.0,-10.0
NOVA ERECHIM,0.0,0.0
NOVA ITABERABA,0.0,0.0
NOVA TRENTO,-2.0,0.0
NOVA VENEZA,0.0,0.0
